name,region,geo_lat,geo_lon
Солигалич,Костромская область,59.0784867,42.2878423
Чухлома,Костромская область,58.753421,42.6884958
Шарья,Костромская область,58.3760542,45.4062414
Абинск,Краснодарский край,44.8679655,38.1618157
Анапа,Краснодарский край,44.8950433,37.3163282
Апшеронск,Краснодарский край,44.4584006,39.7299824
Армавир,Краснодарский край,45.0012149,41.1324168
Белореченск,Краснодарский край,44.7651876,39.8781494
Геленджик,Краснодарский край,44.5630007,38.0790852
Горячий Ключ,Краснодарский край,44.6344864,39.1354738
Гулькевичи,Краснодарский край,45.3605121,40.6918389
Ейск,Краснодарский край,46.71157,38.2763895
Кореновск,Краснодарский край,45.4641703,39.458949
Краснодар,Краснодарский край,45.0401604,38.9759647
Кропоткин,Краснодарский край,45.4333007,40.5727951
Крымск,Краснодарский край,44.9344404,37.9855795
Курганинск,Краснодарский край,44.8877025,40.5913245
Лабинск,Краснодарский край,44.6354363,40.7245341
Новокубанск,Краснодарский край,45.1038699,41.0475175
Новороссийск,Краснодарский край,44.7235026,37.7686135
Приморско-Ахтарск,Краснодарский край,46.0515432,38.1704875
Славянск-на-Кубани,Краснодарский край,45.2603626,38.1259774
Сочи,Краснодарский край,43.5854551,39.7231548
Темрюк,Краснодарский край,45.2610949,37.4454412
Тимашевск,Краснодарский край,45.615923,38.9351837
Тихорецк,Краснодарский край,45.8546345,40.1260267
Туапсе,Краснодарский край,44.1105335,39.0824904
Усть-Лабинск,Краснодарский край,45.2227359,39.6929577
Хадыженск,Краснодарский край,44.4122963,39.5320258
Артемовск,Красноярский край,54.3473075,93.4358377
Ачинск,Красноярский край,56.253907,90.4794397
Боготол,Красноярский край,56.2098468,89.5299336
Бородино,Красноярский край,55.9054121,94.9020967
Дивногорск,Красноярский край,55.9576784,92.3800687
Дудинка,Красноярский край,69.4031364,86.1907218
Енисейск,Красноярский край,58.4485261,92.1651083
Железногорск,Красноярский край,56.2529035,93.532273
Заозерный,Красноярский край,55.9617752,94.7091491
Зеленогорск,Красноярский край,56.1131564,94.5888103
Игарка,Красноярский край,67.4666901,86.5812794
Иланский,Красноярский край,56.2374037,96.067267
Канск,Красноярский край,56.2051282,95.7051096
Кодинск,Красноярский край,58.6032644,99.1797962
Красноярск,Красноярский край,56.0093879,92.8524806
Лесосибирск,Красноярский край,58.221681,92.5037872
Минусинск,Красноярский край,53.7104586,91.6872907
Назарово,Красноярский край,56.0113799,90.4168775
Норильск,Красноярский край,69.3489978,88.2009846
Сосновоборск,Красноярский край,56.1202647,93.3354121
Ужур,Красноярский край,55.3141969,89.8333918
Уяр,Красноярский край,55.8131263,94.3282601
Шарыпово,Красноярский край,55.5389739,89.1801044
Алушта,Крым,44.6764304,34.4100624
Армянск,Крым,46.1059307,33.6910012
Бахчисарай,Крым,44.7514769,33.8752176
Белогорск,Крым,45.057202,34.5999029
Джанкой,Крым,45.7092306,34.3883372
Евпатория,Крым,45.190629,33.367634
Керчь,Крым,45.3562627,36.4674513
Красноперекопск,Крым,45.9537576,33.7921939
Саки,Крым,45.1341997,33.6033383
Симферополь,Крым,44.9482948,34.1001151
Старый Крым,Крым,45.029058,35.0901474
Судак,Крым,44.8504679,34.9762034
Феодосия,Крым,45.0318393,35.3824259
